"asn","match_name","organization","comment"
"9205","src_asn_isp_","'SATELIT SERVIS' Ltd",""
"9231","src_asn_isp_","China Mobile Hong Kong",""
"9246","src_asn_isp_","GTA/Teleguam Holdings LLC",""
"9249","src_asn_isp_","Telecom Vanuatu",""
"9299","src_asn_isp_","Philippine Long Distance Company",""
"9318","src_asn_isp_","SK Broadband",""
"9329","src_asn_isp_","Sri Lanka Telecom",""
"9336","src_asn_isp_","Spirit Telecom Limited Backbone",""
"9341","src_asn_isp_","Indonesia Comnets Plus AS9341",""
"9444","src_asn_isp_","PCCW Mobile",""
"9498","src_asn_isp_","Bharti Airtel Limited",""
"9506","src_asn_isp_","Singtel Fibre Broadband",""
"9519","src_asn_isp_","Vertical Telecoms Pty Ltd",""
"9614","src_asn_isp_","OCT",""
"9644","src_asn_isp_","SKTELECOM-NET-AS-KR",""
"9658","src_asn_isp_","Eastern Telecommunications Philippines Inc.",""
"9664","src_asn_isp_","AUK Telecom(SG)",""
"9674","src_asn_isp_","Far EastTone Telecommunication Co. Ltd.",""
"9694","src_asn_isp_","Seokyung Cable Television Company",""
"9751","src_asn_isp_","AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY",""
"9781","src_asn_isp_","GCS-AS-KR-KR",""
"9808","src_asn_isp_","China Mobile Communications Group Co. Ltd.",""
"9829","src_asn_isp_","National Internet Backbone India",""
"9848","src_asn_isp_","Sejong Telecom",""
"9873","src_asn_isp_","LAOTELECOM",""
"9889","src_asn_isp_","Two Degrees Mobile Limited",""
"9908","src_asn_isp_","Hong Kong Cable Television Limited",""
"9924","src_asn_isp_","Taiwan Fixed Network",""
"9931","src_asn_isp_","NT(CAT) Corporate Internet",""
"9934","src_asn_isp_","Mongolia Telecom",""
"9988","src_asn_isp_","Myanma Posts and Telecommunications (MPT)",""
"10002","src_asn_isp_","Igaueno Cable Television Co.Ltd.",""
"10003","src_asn_isp_","Ogaki Cable Television",""
"10024","src_asn_isp_","LGA Telecom Pte Ltd",""
"10031","src_asn_isp_","WEBSATMEDIA PTE LTD Satellite Over IP Singapore",""
"10094","src_asn_isp_","Unified National Networks",""
"10118","src_asn_isp_","Hutchison Telecommunications Hong Kong Holdings Limited",""
"10131","src_asn_isp_","Telecom Cook Islands",""
"10132","src_asn_isp_","Towngas Telecommunications Fixed Network Limited",""
"10143","src_asn_isp_","Exetel Pty Ltd",""
"10225","src_asn_isp_","Nettlinx",""
"10269","src_asn_isp_","Belize Telemedia",""
"10279","src_asn_isp_","West Carolina Communications",""
"10423","src_asn_isp_","STELLAR Broadband",""
"10429","src_asn_isp_","TELEFÔNICA BRASIL AS10429",""
"10430","src_asn_isp_","Washington State K-20 Telecommunications Network",""
"10620","src_asn_isp_","Telmex Colombia S.A.",""
"10704","src_asn_isp_","Microlink Telecom",""
"10750","src_asn_isp_","Mark Twain Rural Telephone",""
"10821","src_asn_isp_","PIONEERINTERNET",""
"10834","src_asn_isp_","Telefonica Empresas",""
"11014","src_asn_isp_","CPS",""
"11067","src_asn_isp_","PTSINET",""
"11081","src_asn_isp_","United Telecommunication Services UTS",""
"11084","src_asn_isp_","Huron Telecommunications Cooperative",""
"11090","src_asn_isp_","Matanuska Telecom Association",""
"11172","src_asn_isp_","Alestra",""
"11183","src_asn_isp_","Mount Horeb Telephone Co",""
"11259","src_asn_isp_","Angola Telecom",""
"11272","src_asn_isp_","C Spire Fiber",""
"11367","src_asn_isp_","WORLDNETPR",""
"11432","src_asn_isp_","Telium Telecomunicações Ltda",""
"11722","src_asn_isp_","Westelcom Networks",""
"11727","src_asn_isp_","Bruce Telecom",""
"11749","src_asn_isp_","Smart City Telecom AS11749",""
"11814","src_asn_isp_","Distributel Communications Limited",""
"11815","src_asn_isp_","Cooperativa Telefónica de Villa Gobernador Gálvez",""
"11830","src_asn_isp_","ICE (Costa Rica)",""
"11844","src_asn_isp_","EMPRESA CATARINENSE DE TECNOLOGIA EM TEL",""
"11845","src_asn_isp_","Vox Telecom",""
"11888","src_asn_isp_","Televisión Internacional SA de CV AS11888",""
"11915","src_asn_isp_","TelePacific Communications AS11915",""
"11949","src_asn_isp_","COZAD TELEPHONE COMPANY",""
"11961","src_asn_isp_","Mid-Rivers Telephone Cooperative",""
"11992","src_asn_isp_","Liberty Mobile Puerto Rico Inc.",""
"12033","src_asn_isp_","Adams TelSystems Inc.",""
"12056","src_asn_isp_","Yucca Telecom",""
"12127","src_asn_isp_","Telefonica Moviles El Salvador S.A. de C.V.",""
"12150","src_asn_isp_","COTELCAM",""
"12297","src_asn_isp_","TELECOM ARMENIA",""
"12302","src_asn_isp_","Vodafone Romania",""
"12312","src_asn_isp_","ecotel communication ag",""
"12332","src_asn_isp_","PJSC Rostelecom",""
"12334","src_asn_isp_","R Cable y Telecable Telecomunicaciones S.A.U.",""
"12338","src_asn_isp_","EUSKALTEL S.A.",""
"12355","src_asn_isp_","HeLi NET Telekommunikation",""
"12357","src_asn_isp_","COMUNITEL",""
"12360","src_asn_isp_","KEVAG Telekom GmbH",""
"12361","src_asn_isp_","VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA",""
"12365","src_asn_isp_","Sarkor Telecom",""
"12372","src_asn_isp_","Cubic Telecom Limited",""
"12380","src_asn_isp_","PJSC Rostelecom",""
"12389","src_asn_isp_","Rostelecom",""
"12392","src_asn_isp_","Brutele SC / Voo",""
"12444","src_asn_isp_","TELNET TELEKOM HIZMETLERI ANONIM SIRKETI",""
"12455","src_asn_isp_","Telkom Kenya",""
"12479","src_asn_isp_","Orange Spain",""
"12486","src_asn_isp_","TeleYemen",""
"12491","src_asn_isp_","Gilat Telecom",""
"12494","src_asn_isp_","OOO 'Post ltd'",""
"12616","src_asn_isp_","Citytelecom LLC",""
"12668","src_asn_isp_","MiraLogic Telecommunication Systems",""
"12683","src_asn_isp_","PJSC Rostelecom",""
"12688","src_asn_isp_","Joint Stock Company TransTeleCom",""
"12693","src_asn_isp_","e.discom Telekommunikation GmbH",""
"12730","src_asn_isp_","PJSC Rostelecom",""
"12762","src_asn_isp_","VTG",""
"12768","src_asn_isp_","JSC 'ER-Telecom Holding'",""
"12777","src_asn_isp_","Eser Telekom Sanayi ve Ticaret A.S.",""
"12796","src_asn_isp_","Telecommunication Company Varna",""
"12843","src_asn_isp_","TelemaxX",""
"12844","src_asn_isp_","Bouygues Telecom",""
"12846","src_asn_isp_","PJSC Rostelecom",""
"12847","src_asn_isp_","Latvijas Mobilais Telefons AS12847",""
"12850","src_asn_isp_","Retelit S.p.A. (formerly Enter)",""
"12861","src_asn_isp_","Vestel Elektronik Sanayi ve Ticaret A.S.",""
"12874","src_asn_isp_","Fastweb",""
"12880","src_asn_isp_","TIC AS12880",""
"12886","src_asn_isp_","LEW TelNet",""
